code,name,country,city
LHS,Las Heras,AR,
LHU,Lianshulu,NA,
LHV,W T Piper Memorial,US,Lock Haven
LHW,Lanzhou Zhongchuan International Airport,CN,
LIA,Liangping,CN,Longmen
LIB,Limbunya,AU,
LIC,Municipal,US,Limon
LIE,Libenge,CD,Libenge
LIF,Lifou Airport,NC,We
LIG,Bellegarde Airport,FR,Couzeix
LIH,Lihue Airport,US,Hanama'ulu
LII,Mulia,ID,
LIJ,Long Island,US,
LIK,Likiep Island,MH,Likiep
LIL,Lille Airport,FR,Lesquin
LIM,Jorge Chavez International Airport,PE,Callao
LIN,Milano Linate Airport,IT,Novegro-Tregarezzo-San Felice
LIO,Limon International Airport,CR,Limon
LIP,Lins,BR,Lins
LIQ,Lisala,CD,
LIR,Liberia Airport,CR,Liberia
LIS,Lisbon Portela Airport,PT,Moscavide
LIT,Bill and Hillary Clinton National Airport,US,North Little Rock
LIV,Livengood,US,
LIW,Loikaw Airport,MM,Loikaw
LIX,Likoma,MW,Chipyela
LIY,Wright AAF,US,Hinesville
LIZ,Loring AFB,US,Foster Brook
LJA,Lodja,CD,Lodja
LJC,Intercontinental,US,Lafayette
LJG,Lijiang Airport,CN,Huangshan
LJN,Brazoria County,US,Lake Jackson
LJU,Ljubljana Joze Pucnik Airport,SI,Sencur
LKA,Gewayenta Airport,ID,Balela
LKB,Lakeba Airport,FJ,
LKC,Lekana,CG,Djambala
LKD,Lakeland Downs,AU,
LKE,Kenmore Air Harbor SPB,US,Seattle
LKG,Lokichoggio,KE,Kaabong
LKH,Long Akah,MY,Long Ampan Aing or Abanang
LKI,Lakeside USAF,US,Duluth
LKK,Kulik Lake,US,
LKL,Banak Airport,NO,Lakselv
LKM,Raja Loloda Mokoagow Airport,ID,
LKN,Leknes Airport,NO,Leknes
LKO,Chaudhary Charan Singh International Airport,IN,Lucknow
LKP,Lake Placid,US,Lake Placid
LKR,Las Khoreh,SO,Las Khorey
LKS,Lakeside,US,Briarcliff
LKU,Lake Rudolf,KE,
LKV,Lake County,US,Lakeview
LKW,Lekhwair,OM,`Ibri
LKY,Lake Manyara Airport,TZ,Monduli
LKZ,RAF Lakenheath,GB,Mundford
LLA,Lulea Airport,SE,Bergnaset
LLB,Libo County Libo City Airport,CN,Chuanshan
LLC,Cagayan North International Airport,PH,Bagumbayan
LLE,Malelane,ZA,Komatipoort
LLF,Lingling Airport,CN,Lengshuitan
LLG,Chillagoe,AU,
LLH,Las Limas,HN,
LLI,Lalibela Airport,ET,Lalibela
LLJ,Silampari Airport,ID,Lubuklinggau
LLK,Lankaran International Airport,AZ,Lankaran
LLL,Lissadell,AU,
LLM,Long Lama,MY,
LLN,Kelila,ID,Bikondini
LLO,Bua Airport,ID,Beringinjaya
LLP,Linda Downs,AU,
LLS,Las Lomitas,AR,Las Lomitas
LLT,Lobito,AO,Lobito
LLU,Alluitsup Paa,GL,
LLV,Lüliang Airport,CN,Lishi
LLW,Lilongwe International Airport,MW,Lilongwe
LLX,Lyndonville,US,Lyndon
LLY,Burlington County,US,Leisuretowne
LMA,Lake Minchumina,US,
LMB,Salima,MW,Salima
LMC,Lamacarena,CO,San Juan de Arama
LMD,Los Menucos,AR,Los Menucos
LME,Arnage,FR,Cloyes-sur-le-Loir
LMG,Lamassa,PG,
LMH,Limon,HN,Francia
LMI,Lumi,PG,
LML,Lae Island,MH,Lae
LMM,Federal Airport,MX,Los Mochis
LMN,Limbang Airport,MY,Limbang
LMO,Lossiemouth RAF Station,GB,Lossiemouth
LMP,Lampedusa Airport,IT,Lampedusa
LMQ,Marsa Brega,LY,Al Burayqah
LMR,Lime Acres,ZA,Danielskuil
LMS,Winston County,US,Louisville
LMT,Crater Lake Klamath Regional Airport,US,Altamont
LMU,Letung Airport,ID,
LMV,Madivaru Airport,MV,Madivaru
LMX,Lopez De Micay,CO,
LMY,Lake Murray,PG,
LMZ,Palma,MZ,Madimba
LNA,Palm Beach County Park,US,
LNB,Lamen Bay,VU,
LNC,Lengbati,PG,
LND,Hunt Field,US,Lander
LNE,Lonorore,VU,
LNF,Munbil,PG,
LNG,Lese,PG,
LNH,Lake Nash,AU,
LNI,Dew Station,US,
LNJ,Lincang Airport,CN,Mengmeng
LNK,Lincoln Airport,US,Lincoln
LNL,Longnan Chengzhou Airport,CN,Diancun
LNM,Langimar,PG,
LNN,Lost Nation,US,Willoughby
LNO,Leonora,AU,
LNP,Wise,US,Wise
LNQ,Loani,PG,
LNR,Tri County,US,Spring Green
LNS,Lancaster Airport,US,Lititz
LNU,Robert Atty Bessing Airport,ID,Mensalong
LNV,Lihir Island,PG,Rabaul
LNX,Smolensk,RU,Smolensk
LNY,Lanai Airport,US,Lana'i City
LNZ,Linz Airport,AT,Horsching
LOA,Lorraine,AU,
LOB,Los Andes,CL,Coquimbo
LOC,Lock,AU,
LOD,Longana,VU,
LOE,Loei Airport,TH,Loei
LOF,Loen,MH,Jabat
LOG,Longview,US,Kelso
LOH,Ciudad de Catamayo Airport,EC,Catamayo
LOI,Helmuth Baungartem,BR,Ibirama
LOK,Lodwar Airport,KE,
LOL,Derby Field,US,Lovelock
LOM,Francisco P. V. Y R.,MX,Geovillas Laureles del Campanario
LOO,L'Mekrareg Airport,DZ,Laghouat
LOP,Lombok International Airport,ID,Tanakawu Dua
LOQ,Lobatse,BW,Lobatse
LOR,Lowe Army Heliport,US,Headland
LOS,Murtala Muhammed International Airport,NG,Oshodi
LOT,Lewis Lockport,US,Lockport
LOU,Bowman Field Airport,US,Louisville
LOV,Monclova,MX,Monclova
LOW,Louisa,US,Louisa
LOX,Los Tablones Airport,GT,Morazan
LOY,Loyangalani,KE,Lodwar
LOZ,Corbin-london,US,London
LPA,Gran Canaria Airport,ES,Ingenio
LPB,El Alto International Airport,BO,La Paz
LPC,Lompoc Airport,US,
LPD,La Pedrera,CO,
LPE,La Primavera,CO,Ginebra
LPF,Liupanshui Yuezhao Airport,CN,Liupanshui
LPG,La Plata,AR,La Plata
LPI,Linkoping City Airport,SE,Linkoping
LPJ,Pijiguaos,VE,San Juan de Payara
LPK,Lipetsk Airport,RU,Lipetsk
LPL,Liverpool John Lennon Airport,GB,Hale
LPM,Lamap,VU,
LPN,Leron Plains,PG,
LPO,Municipal,US,LaPorte
LPP,Lappeenranta,FI,Lappeenranta
LPQ,Luang Prabang International Airport,LA,Louangphabang
LPS,Lopez Island,US,
LPT,Lampang Airport,TH,Lampang
LPU,Long Apung,ID,Longnawang
LPW,Little Port Walter,US,
LPX,Liepaya Airport,LV,Grobina
LPY,Loudes Airport,FR,Saint-Paulien
LQK,Pickens,US,Pickens
LQM,Puerto Leguizamo,CO,Puerto Leguizamo
LQN,Qala Nau,AF,Qadis
LRA,Larisa,GR,Larisa
LRB,Leribe,LS,Leribe
LRD,Laredo International Airport,US,Laredo
LRE,Longreach Airport,AU,
LRF,Little Rock AFB,US,Little Rock Air Force Base
LRG,Lora Lai,PK,Kharan
LRH,Laleu Airport,FR,Nieul-sur-Mer
LRI,Lorica,CO,Cotorra
LRJ,Municipal,US,Le Mars
LRK,Coast Guard,US,Batallas
LRL,Niamtougou,TG,Niamtougou
LRM,La Romana Airport,DO,La Romana
LRN,Larson AFB,US,Moses Lake
LRO,Sharpe AAF,US,Lathrop
LRQ,Laurie River,CA,
LRR,Lar Airport,IR,Lar
LRS,Leros Airport,GR,Megalo Chorio
LRT,Lann Bihoue Airport,FR,Ploemeur
LRU,Municipal,US,Mesilla
LRV,Los Roques,VE,Caraballeda
LSA,Losuia,PG,
LSB,Lordsburg,US,Lordsburg
LSC,La Florida Airport,CL,La Serena
LSD,Blue Grass Station Army Heliport,US,Mount Vernon
LSE,La Crosse Regional Airport,US,French Island
LSF,Lawson AAF,US,
LSH,Lashio,MM,
LSI,Sumburgh Airport,GB,
LSJ,Long Island,PG,
LSK,Lusk,US,Lusk
LSL,Los Chiles,CR,Los Chiles
LSM,Lawas,MY,Sungai Nyamuk
LSN,Los Banos,US,Los Banos
LSO,Talmont,FR,Les Sables-d'Olonne
LSP,Josefa Camejo Airport,VE,Punto Fijo
LSQ,Los Angeles,CL,Los Angeles
LSR,Lost River,US,
LSS,Terre-de-Haut,GP,Terre-de-Bas
LST,Launceston Airport,AU,Perth
LSU,Long Sukang,MY,
LSV,Nellis AFB,US,Pahrump
LSW,Malikus Saleh Airport,ID,Lhokseumawe
LSX,Lhok Sukon,ID,Matangkuli
LSY,Lismore Airport,AU,Lismore
LSZ,Losinj Airport,HR,Mali Losinj
LTA,Letaba,ZA,Tzaneen
LTB,Latrobe,AU,Latrobe
LTC,Lai,TD,Lai
LTD,Ghadames,LY,Ghadamis
LTF,Leitre,PG,Leitre
LTG,Langtang,NP,Chongdui
LTH,Lathrop Wells,US,
LTI,Altai,MN,Tsagaan-Olom
LTK,Latakia,SY,Jablah
LTL,Lastourville,GA,Lastoursville
LTM,Lethem,GY,
LTN,London Luton Airport,GB,Luton
LTO,Loreto Airport,MX,Loreto
LTP,Lyndhurst,AU,
LTQ,Le Touquet,FR,Etaples
LTR,Letterkenny,IE,Letterkenny
LTS,Altus Air Force Base,US,Altus
LTT,La Mole,FR,
LTU,Latur,IN,Latur
LTV,Lotusvale,AU,
LTW,St Marys County,US,
LTX,Cotapaxi International Airport,EC,Latacunga
LUA,Lukla,NP,
LUB,Lumid Pau,GY,
LUC,Laucala Island,FJ,
LUD,Luderitz Airport,NA,Luderitz
LUE,Lucenec,SK,Lucenec
LUF,Luke AFB,US,
LUG,Lugano Airport,CH,Viganello
LUH,Ludhiana Sahnewal Airport,IN,Ludhiana
LUI,La Union,HN,La Union
LUK,Cincinnati Municipal Lunken Airport,US,Oakbrook
LUL,Hesler-Noble Field,US,Laurel
LUM,Dehong Mangshi Airport,CN,
LUN,Kenneth Kaunda International Airport,ZM,Lusaka
LUO,Luena,AO,Leua
LUP,Kalaupapa,US,
LUQ,San Luis Airport,AR,San Luis
LUR,Cape Lisburne,US,
LUS,Lusanga,CD,Kikwit
LUT,Laura Station,AU,
LUU,Laura,AU,
LUV,Langgur Airport,ID,
LUW,Bubung Airport,ID,Luwuk
LUX,Luxembourg Airport,LU,Sandweiler
LUZ,Lublin Airport,PL,
LVA,Entrammes,FR,Laval
LVB,Dos Galpoes,BR,Rivera
LVD,Lime Village,US,
LVI,Livingstone Airport,ZM,Livingstone
LVK,Livermore,US,Livermore
LVL,Lawrenceville,US,Lawrenceville
LVM,Mission Field,US,Livingston
LVO,Laverton,AU,
LVP,Lavan,IR,Gavbandi
LVR,Mun. Do Bom Futuro,BR,
LVS,Las Vegas,US,Las Vegas
LWA,Lwbak,PH,Lubuagan
LWB,Greenbrier Valley Airport,US,Lewisburg
LWC,Lawrence,US,Lawrence
LWE,Lewoleba,ID,Boto
LWH,Lawn Hill,AU,
LWI,Lowai,PG,
LWK,Lerwick/Tingwall,GB,
LWL,Harriet Field,US,Wells
LWM,Lawrence,US,North Andover
LWN,Leninakan Airport,AM,Azatan
LWO,Lviv International Airport,UA,Rudne
LWR,Leeuwarden,NL,Britsum
LWS,Lewiston-Nez Perce County Regional Airport,US,Lewiston Orchards
LWT,Municipal,US,Lewistown
LWV,Municipal,US,Lawrenceville
LWY,Lawas Airport,MY,Victoria
LXA,Lhasa Gonggar Airport,CN,Konggar
LXG,Luang Namtha Airport,LA,Louang Namtha
LXN,Lexington,US,Lexington
LXR,Luxor International Airport,EG,Luxor
LXS,Limnos Airport,GR,Myrina
LXU,Lukulu,ZM,Lukulu
LXV,Leadville,US,Leadville
LYA,Luoyang Beijiao Airport,CN,
LYB,Little Cayman Airport,KY,East End
LYC,Lycksele Airport,SE,Lycksele
LYE,Lyneham RAF Station,GB,Lyneham
LYG,Lianyungang Airport,CN,Niushan
LYH,Preston-Glenn Field,US,Timberlake
LYI,Linyi Airport,CN,Linyi
LYK,Lunyuk,ID,Lunyuk Ode
LYN,Bron,FR,Bron
LYO,Lyons-Rice County Municipal,US,Lyons
LYP,Faisalabad Airport,PK,Faisalabad
LYR,Svalbard Airport,SJ,Longyearbyen
LYS,Lyon Saint-Exupery International Airport,FR,Pusignan
LYT,Lady Elliot Island,AU,Bundaberg
LYU,Ely,US,Ely
LYX,London Ashford International (Ferryfield),GB,Lydd
LZA,Luiza,CD,Mwene-Ditu
LZC,Lazaro Cardenas Airport,MX,La Orilla
LZG,Langzhong Airport,CN,Shilong
LZH,Liuzhou Airport,CN,Labu
LZI,Luozi,CD,
LZM,Luzamba,AO,
LZN,Matsu Nangan Airport,TW,
LZO,Luzhou Lantian Airport,CN,Luzhou
LZR,Lizard Island,AU,
LZU,Gwinnett County Airport,US,Suwanee
LZY,Nyingchi Mainling Airport,CN,Mainling
MAA,Chennai Airport,IN,Pallavaram
MAB,Maraba Airport,BR,
MAC,Smart,US,
MAD,Adolfo Suarez Madrid-Barajas Airport,ES,Barajas de Madrid
MAE,Madera,US,Madera
MAF,Midland International Airport,US,
MAG,Madang Airport,PG,
MAH,Menorca Airport,ES,Sant Lluis
MAI,Mangochi,MW,Mangochi
MAJ,Amata Kabua International Airport,MH,Majuro
MAK,Malakal,SS,Malakal
MAL,Mangole,ID,
MAM,Matamoros Airport,MX,Heroica Matamoros
MAN,Manchester Airport,GB,Ringway
MAO,Eduardo Gomes International Airport,BR,
MAP,Mamai,PG,
MAQ,Mae Sot Airport,TH,Mae Sot
MAR,La Chinita Airport,VE,San Francisco
MAS,Momote Airport,PG,Lorengau
MAT,Matadi,CD,Matadi
MAU,Maupiti,PF,Vaitape
MAV,Maloelap Island,MH,Taroa
MAW,Malden,US,Malden
MAX,Matam,SN,Ouro Sogui
MAY,Mangrove Cay,BS,
MAZ,Eugenio M. De Hostos Airport,PR,Anasco
MBA,Moi International Airport,KE,Mombasa
MBB,Marble Bar,AU,
MBC,Mbigou,GA,Mbigou
MBD,Mmabatho International Airport,ZA,Mmabatho
MBE,Monbetsu Airport,JP,Mombetsu
MBF,Mount Buffalo,AU,
MBG,Mobridge,US,Mobridge
MBH,Maryborough,AU,Maryborough
MBI,Mbeya Airport,TZ,Mbeya
MBJ,Sangster International Airport,JM,Montego Bay
MBK,Matupa,BR,Alta Floresta
MBL,Blacker Airport,US,Manistee
MBM,Mkambati,ZA,Bizana
MBN,Mt Barnett,AU,
MBO,Mamburao,PH,Mamburao
MBP,Moyobamba,PE,Yorongos
MBQ,Mbarara,UG,Mbarara
MBR,Mbout,MR,
MBS,MBS International Airport,US,Freeland
MBT,Masbate Airport,PH,Tumalaytay
MBU,Mbambanakira,SB,
MBV,Masa,PG,
MBW,Moorabbin,AU,Heatherton
MBX,Maribor International Airport,SI,Maribor
MBY,Moberly,US,Moberly
MBZ,Maues,BR,Maues
MCA,Macenta,GN,Macenta
MCB,Pike County,US,Magnolia
MCC,Mcclellan AFB,US,North Highlands
MCD,Mackinac Island,US,Saint Ignace
MCE,Merced Municipal Airport,US,
MCF,Mac Dill AFB,US,
MCG,McGrath Airport,US,
MCH,Machala,EC,Puerto Bolivar
MCI,Kansas City International Airport,US,Weatherby Lake
MCJ,Maicao,CO,Maicao
MCK,Mc Cook Airport,US,McCook
MCL,Mt Mckinley,US,
MCM,Fontvieille Heliport,MC,Monaco
MCN,Lewis B Wilson,US,
MCO,Orlando International Airport,US,Taft
MCP,Macapa International Airport,BR,Macapa
MCQ,Miskolc,HU,Arnot
MCR,Melchor De Menco,GT,Chiquinival
MCS,Monte Caseros,AR,Monte Caseros
MCT,Muscat International Airport,OM,Bawshar
MCU,Gueret (Lepaud),FR,Montlucon
MCV,Mcarthur River Airport,AU,
MCW,Mason City Airport,US,Clear Lake
MCX,Makhachkala Airport,RU,Kaspiysk
MCY,Sunshine Coast Airport,AU,Coolum Beach
MCZ,Maceio-Zumbi dos Palmares International Airport,BR,Satuba
MDA,Martindale Army Heliport,US,San Antonio
MDB,Melinda,BZ,Dangriga
MDC,Sam Ratulangi International Airport,ID,Tatelu
MDD,Airpark,US,Midland
MDE,Jose Maria Cordova International Airport,CO,Rionegro
MDF,Medford,US,Medford
MDG,Mudanjiang Airport,CN,Xinglong
MDH,Southern Illinois,US,De Soto
MDI,Makurdi,NG,Makurdi
MDJ,City-county,US,Warm Springs
MDK,Mbandaka,CD,Mbandaka
MDL,Mandalay International Airport,MM,
MDM,Munduku,PG,
MDN,Jefferson Proving Grd,US,Madison
MDO,Intermediate,US,
MDP,Mindiptana,ID,
MDQ,Mar Del Plata Airport,AR,
MDR,Medfra,US,
MDS,Middle Caicos,TC,
MDT,Harrisburg International Airport,US,Middletown
MDU,Mendi Airport,PG,
MDV,Medouneu,GA,
MDW,Chicago Midway International Airport,US,Stickney
MDX,Mercedes,AR,Mercedes
MDY,Sand Island Field,UM,
MDZ,El Plumerillo International Airport,AR,Las Heras
MEA,Macae,BR,Macae
MEB,Essendon Airport,AU,Niddrie
MEC,Manta Airport,EC,Manta
MED,Prince Mohammad Bin Abdulaziz International Airport,SA,Medina
MEE,Mare Airport,NC,
MEF,Melfi,TD,Melfi
MEG,Malange,AO,Malanje
MEH,Mehamn Airport,NO,Mehamn
MEI,Key Field,US,Meridian
MEJ,Meadville,US,Meadville
MEK,Meknes,MA,Meknes
MEL,Tullamarine Airport,AU,Attwood
MEM,Memphis International Airport,US,Southaven
MEN,Brenoux,FR,Mende
MEO,Dare County Regional,US,Manteo
MEP,Mersing,MY,Mersing
MEQ,Seunagan,ID,Meulaboh
MER,Castle AFB,US,Merced
MES,Polonia,ID,Medan
MET,Moreton,AU,
MEU,Monte Dourado,BR,Almeirim
MEV,Douglas County,US,Minden
MEW,Mweka,CD,Mweka
MEX,Benito Juarez International Airport,MX,Venustiano Carranza
MEY,Meghauli,NP,Bharatpur
MEZ,Messina,ZA,
MFA,Mafia,TZ,Kilindoni
MFB,Monfort,CO,
MFC,Mafeteng,LS,Mafeteng
MFD,Lahm Municipal,US,Lincoln Heights
MFE,McAllen International Airport,US,McAllen
MFF,Moanda,GA,Moanda
MFG,Muzaffarabad,PK,Muzaffarabad
MFH,Mesquite,US,Mesquite
